id,prediction
0,-2.62728
1,-2.2731977
2,-1.0082512
3,47.273056
4,294.71198
5,802.8082
6,1893.4983
7,3116.6492
8,2851.294
9,2053.4092
10,2189.8623
11,2810.7588
12,2197.5781
13,1932.1962
14,1996.5804
15,1506.1272
16,1146.2446
17,582.1676
18,238.97421
19,3.455565
20,0.08787835
21,0.9216271
22,9.28441
23,8.797538
24,-3.0528965
25,-1.3573263
26,0.94311106
27,225.42848
28,786.90063
29,1284.4723
30,2223.7913
31,2996.1619
32,3750.2847
33,3974.9548
34,4366.123
35,4277.0386
36,3960.1794
37,3881.3726
38,3326.9087
39,2866.7854
40,1744.1285
41,1119.5724
42,505.15402
43,161.39568
44,53.822903
45,40.353817
46,22.176298
47,30.568449
48,6.2880077
49,-2.4170547
50,30.657608
51,308.60703
52,807.8067
53,1672.386
54,2951.2527
55,4041.3364
56,4330.0864
57,4812.4204
58,4853.8354
59,4527.8936
60,4120.4365
61,3818.4185
62,3262.6626
63,2168.6929
64,1164.9231
65,655.4879
66,382.19223
67,89.06094
68,-6.809479
69,-14.117939
70,-10.020129
71,-2.7731218
72,0.80499905
73,1.4456196
74,17.715097
75,146.11473
76,488.90143
77,1107.839
78,2284.019
79,3540.154
80,3357.8599
81,3224.5776
82,3639.9429
83,3735.8774
84,3312.5896
85,2732.2288
86,2975.7747
87,2767.9348
88,1663.7059
89,581.95123
90,344.31653
91,193.21866
92,-7.9013243
93,-4.0121455
94,2.1565979
95,-8.117122
96,-8.508302
97,-1.9419386
98,70.95136
99,270.96106
100,400.01816
101,1425.7036
102,2910.1533
103,3380.7896
104,4412.526
105,4487.3726
106,4910.3877
107,4714.159
108,4559.4497
109,4159.4336
110,3548.6626
111,3125.0684
112,2019.7559
113,1002.8776
114,408.7646
115,203.62158
116,29.998896
117,3.79371
118,0.5769154
119,7.2961535
120,14.026041
121,5.654027
122,104.351524
123,354.24548
124,938.835
125,1958.5497
126,2494.164
127,3960.2627
128,4317.4004
129,3913.4922
130,4128.2046
131,2853.9478
132,2457.2153
133,2831.749
134,3206.5674
135,2499.6265
136,1163.7849
137,680.2706
138,521.21594
139,220.66443
140,17.677605
141,22.732918
142,0.26544666
143,-1.5498002
144,-0.7881131
145,1.8560447
146,86.470055
147,393.3881
148,935.1448
149,2089.314
150,3080.9265
151,4092.2424
152,4364.2715
153,4581.982
154,4238.8926
155,4479.37
156,3944.1274
157,3386.4834
158,3312.366
159,2346.4714
160,1572.4214
161,869.7589
162,400.75217
163,157.6058
164,32.7818
165,3.500506
166,-4.99428
167,5.7284975
168,-2.176802
169,3.6687999
170,12.71517
171,107.76455
172,182.11769
173,193.82864
174,274.937
175,315.4247
176,361.2738
177,639.69446
178,596.50085
179,1040.7771
180,1739.6188
181,2006.5612
182,1668.8834
183,1888.6815
184,1052.2196
185,498.57776
186,314.53806
187,113.77476
188,6.126617
189,-6.105381
190,-6.5973244
191,-5.914743
192,-4.685318
193,-6.468273
194,55.602947
195,165.44008
196,384.84317
197,752.5921
198,1423.483
199,2058.3289
200,1139.4536
201,1900.1912
202,1764.2938
203,1682.0764
204,2546.479
205,2195.098
206,1833.6882
207,1049.7794
208,743.6794
209,387.7926
210,182.11208
211,73.65598
212,0.047192037
213,-1.4874837
214,-2.6888928
215,-6.0558233
216,0.843458
217,6.2452645
218,52.433197
219,159.90652
220,211.24663
221,318.98547
222,760.86615
223,1247.1216
224,2125.9844
225,2005.6906
226,1529.6301
227,1863.3223
228,1386.2273
229,979.2877
230,652.9375
231,576.0228
232,444.40057
233,276.02887
234,220.90648
235,73.76996
236,18.058361
237,-3.4409137
238,-7.0667844
239,-4.519032
240,-0.89480186
241,-0.4362142
242,37.672295
243,123.381485
244,284.35443
245,913.5703
246,1414.7977
247,2043.9795
248,1916.0276
249,1348.678
250,1256.0952
251,1193.2661
252,1814.803
253,1923.2839
254,1764.3767
255,1354.8464
256,1312.8188
257,951.65717
258,496.57382
259,220.44995
260,37.283226
261,-4.6586394
262,-4.458106
263,-0.10899508
264,0.4639489
265,3.4042041
266,84.87135
267,146.492
268,393.83844
269,821.56274
270,841.5291
271,947.1489
272,829.34766
273,880.74274
274,986.107
275,807.85547
276,638.6305
277,221.6884
278,343.74042
279,323.09668
